data_aniversário,autoriza_postagem_niver,idade,escolaridade,bairro_cidade,raca_etnia,genero,orientacao_sexual,tem_filhos,area_ti_ou_trasicao_carreira,situacao_profissional,profissionalmente_ativa,profissao_atual,renda_mensal,trabalha_estuda_com_tecnologia,programa_python,quanto_tempo_programa_python,tem_interesse_aprender,seu_nivel_python,ja_trabalhou_qual_segmento,ja_trabalhou_outras_tecnologias,como_conheceu_pyladies,ja_participou_evento,o_que_espera_comunidade,como_voce_pode_ajudar_comunidade,frequencia_participa_evento,quais_eventos_mais_gosta,qual_area_desperta_mais_interesse,ministrar_palestra_cursos,sobre_quais_assuntos,o_que_poderia_desperar_interesse_para_interagir_participar_mais,gostaria_participar_do_programa_mentoria,faz_parte_de_outra_comunidade,tem_experiencia_organizacao_evento,interesses,dificuldades_mulheres_na_ti,tipo_apoio_voce_espera_da_comunidade,prefere_trabalhar_em_projetos_individuais_ou_equipes,autoriza_autorizacao_manter_info,autorizacao_imagem,email_hash,nome_hash,contato_hash
04/11,Não,Entre 18 e 24 anos,Graduação - cursando,Caucaia/Parque Guadalajara,Parda,Cisgênera,Heterossexual,Não,Sim,Estagiária,"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas",Requisitos e UX,Menos de 1 salário mínino ( < 1.412),2 a 4 anos,Sim,menos de 1 ano,Não se aplica,Júnior,Não se aplica,C++,"Redes Sociais (Instagram, Facebook e etc)",Não,REDE DE APOIO DE MULHERES ACOLHIMENTO INDICACOES AMIZADES,NULA,nula,Workshops;Palestras,Data Science;Desenvolvimento Web;UI/UX,Não,nula,nula,Não,Não ,Não,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);🎶 (música, para interesses musicais);🍳 (culinária, para quem gosta de cozinhar);🌍 (viagens, para interesses em explorar o mundo);🧘‍♀️ (bem-estar, para práticas como yoga)",NULA,NULA,nula,"Sim, autorizo!","Sim, autorizo!",b97bdce0c1eeb51cab35769894e376a1ec3ba1f460bdd9e124b788de1574440f,91fdf40c09ff63e706160d3d7c2921d4b602d7687af1ccfd0c50bee37a8fc5f4,7f62c7a94601640996bd24727debf3f4e5856997b6f036d34967f7ae7c57c0ca
09/08,Não,Entre 18 e 24 anos,Graduação - cursando,FORTALEZA/CONJUNTO CEARÁ,Branca,Cisgênera,Bissexual,Não,Sim,Estagiária,Estou buscando ativamente novo emprego/estágio/etc.,Dados/Automação,Menos de 1 salário mínino ( < 1.412),menos de 1 ano,Sim,menos de 1 ano,Não se aplica,Júnior,Análise/Visualização de Dados;Desenvolvimento Web;Web scrapping,Java; Postgresql; SQL; Mysql; Selenium; Pyautogui;Pandas.,Indicação de amiga(o),"Sim, como participante",APRENDER BASTANTE APROVEITAR O NETWORKING E PARTICIPAR MAIS DE EVENTOS DE TECH,COMO PARTICIPANTE MENTORA PALESTRANTE DIVULGADORA,1 evento por ano,Workshops;Palestras;Tutoriais,Análise/Visualização de Dados;Big Data;Data Science;Machine Learning;Segurança;Web scrapping,"Sim, tendo apoio e divindindo espaço da apresentação com outra pessoa",Python/dados ou automação.,nula,"Sim, como mentora e mentorada","Sim, Mulheres e tecnologia (Data Girls).",Não,"📚 (livros, representando interesses em leitura);🎶 (música, para interesses musicais);🍳 (culinária, para quem gosta de cozinhar);🌍 (viagens, para interesses em explorar o mundo)",DESCREDIBILIDADE PREDOMINANCIA MASCULINA NO AMBIENTE DE ESTUDOTRABALHO,MAIS EVENTOS PRESENCIAIS,Não tenho preferência; acredito que os 2 modos tem suas qualidades e defeitos. ,"Sim, autorizo!","Sim, autorizo!",a354074e401c578573fd783554bb7894d11fda09b2de4868023ad5e7ffe3ea66,2349ccbd0d7e4763fe865341837a12487e4df74f80833540ee6c87ce9fa82c6f,ef288d0a9c4fd9476fdb010bd5961b8186f8a4923a2b08f3e28ea395643f011d
16/01/1979,Sim,Entre 41 e 50 anos,Graduação - cursando,Messejana ,Parda,Cisgênera,Heterossexual,Sim e sou a única responsável por eles,Designer de interiores ,Funcionária de empresa privada (CLT/PJ),"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas",Engenharia da Computação/Ciências de dados,Menos de 1 salário mínino ( < 1.412),2 a 4 anos,Não,Não se aplica,Sim,Júnior,Desenvolvimento Web;Testes;Estudos ,Inteligente Artificial /Internet das Coisas (IoT)/AWS etc...,Indicação de amiga(o),"Sim, como participante",ESPERO ME ENGAJAR UM POUCO MAIS E PODER AJUDAR,EU GOSTARIA MUITO DE AJUDAR DE ALGUMA FORMA,1 evento por ano,Palestras,Análise/Visualização de Dados;Desenvolvimento Web;IoT;Jogos;Machine Learning;Segurança;Testes,Talvez,Ionic,"Acho que já me desperta muito interesse,porém estava um pouco sem tempo,agora vou tentar me engajar mais.",Talvez,Estou no grupo PyLadies desde 2022 ,Sim,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);🌍 (viagens, para interesses em explorar o mundo);🧘‍♀️ (bem-estar, para práticas como yoga)",EXISTE MUITO PRECONCEITO POR SER MULHER E TAMBEM SINTO POR CONTA DA IDADE,GOSTARIA DE ESPACO DE COLABORACAO EM PROJETOS,"Os dois,acho importante o trabalho em equipe para ter a oportunidade de aprender com outras pessoas.","Sim, autorizo!","Sim, autorizo!",99dbb55b967c8c2e720b4d4a95cba2e71a98c71609716a314f4e1490f647f9e7,7f8584b07e5b927129f6b41a862c6f352587472786f98cea02095a92c6a04845,5c643530975d11377a1ba923f30377baa7e806efe98fe3cd951f838c5ecb9289
13/03,Sim,Entre 31 e 40 anos,Graduação - concluído,Fortaleza  / Messejana,Parda,Cisgênera,Heterossexual,Sim e compartilho a responsabilidade sobre eles com outras pessoas,Nao. Administração/ Recursos Humanos,Não trabalho e estou buscando um emprego/estágio,Estou buscando ativamente novo emprego/estágio/etc.,Desenvolvedor back end,Entre 3 salários míninos a 7 salários míninos ( >= 4.236 e < 9.884 ),2 a 4 anos,Sim,menos de 1 ano,Não se aplica,Júnior,Análise/Visualização de Dados,"Javascript, Java, SQL, Git","Redes Sociais (Instagram, Facebook e etc)",Não,SOCIALIZAR E ESTAR POR DENTRO DAS NOVIDADES DOS EVENTOS E DO MERCADO DE TI,ESPERO FAZER VOLUNTARIADO E SER UMA INFLUENCIADORA PARA PESSOAS QUE ESTAO INICIANDO,nula,Atividades lúdicas e recreativas;Workshops;Palestras,Análise/Visualização de Dados;Data Science;Desenvolvimento Web;Segurança,Não,nula,nula,"Sim, como mentora e mentorada",Não ,Prefiro não informar,"🎨 (arte, representando interesses criativos);🎶 (música, para interesses musicais);🌍 (viagens, para interesses em explorar o mundo);🧘‍♀️ (bem-estar, para práticas como yoga)",ETARISMO E MATERNIDADE,COMO DRIBLAR OS DESAFIOS ACIMA E CONHECER EMPRESAS QUE SAO MAIS INCLUSIVAS QUANTO A MINHA REALIDADE,"Os dois. Consigo trabalhar das duas formas, equipe é sempre bom pelo desafio de lidar com a individualidade do outro.","Sim, autorizo!","Sim, autorizo!",d9c4a3f411d585ee021b84670105d03901782a8e36e28aba887687c7602d0a46,c61b627199fb03e314ff82d71be6c2a35d1a748d6a437a75877d63627071fa93,e79c4a351888c4e511b3b9192db3883a21ad3495a2177b7fe300940cc85d4b6d
13/10,Sim,Entre 31 e 40 anos,Pós Graduação Lato Sensu (Especialização/MBA/etc) - concluído,Messejana ,Branca,Cisgênera,Bissexual,Não,"Não, funcionária pública dos correios",Funcionária de empresa privada (CLT/PJ),"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas",QA,Entre 3 salários míninos a 7 salários míninos ( >= 4.236 e < 9.884 ),2 a 4 anos,Sim,menos de 1 ano,Sim,Júnior,Testes,"Cypress,java,postman,docker",Indicação de amiga(o),"Sim, como organizadora;Sim, como palestrante/ministrante de curso/etc.;Sim, como participante",NULA,NULA,Entre 1 a 3 eventos por ano,Atividades lúdicas e recreativas;Workshops;Palestras;Tutoriais,Análise/Visualização de Dados;Testes,Sim,Área de testes e como utilizar o linkedin,nula,Talvez,Cantinho das QAs,Sim,"🍳 (culinária, para quem gosta de cozinhar);🌍 (viagens, para interesses em explorar o mundo);🎮 (jogos, para quem curte videogames)",NULA,NULA,nula,"Sim, autorizo!","Sim, autorizo!",325aa20b12f52e23c61918f9f0b3becf43e2b4aa863f9d96b0dd93e1beb6cd63,ca3488ac516d8fdc0f85faf497c3aa49ff283b154b27a2636d537b29c9d665c2,044f469452233b62fed42ba4ba982814d1f2d76a673fd43b075cf447739f3d80
12/09/1999,Não,Entre 25 e 30 anos,Graduação - cursando,FORTALEZA/PRESIDENTE KENNEDY,Parda,Cisgênera,Lésbica,Não,Não. Eu estudava farmácia antes de mudar para ADS.,Funcionária de empresa privada (CLT/PJ),"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas","Vendas ainda, ainda quero ingressar na área da tecnologia.",Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),menos de 1 ano,Não,Não se aplica,Sim,Não se aplica,Não se aplica,Ainda nenhuma. Estou entrando no segundo semestre agora.,Indicação de amiga(o),Não,UM COMUNIDADE FEMININA NA AREA DE TECNOLOGIA,ESTAREI DISPOSTA A AJUDAR NO QUE FOR PRECISO,Entre 1 a 3 eventos por ano,Atividades lúdicas e recreativas;Palestras,Análise/Visualização de Dados;Desenvolvimento Web;Jogos;Web scrapping,Não,nula,nula,"Sim, como mentorada",Não.,Não,"🎶 (música, para interesses musicais);🍳 (culinária, para quem gosta de cozinhar);🎮 (jogos, para quem curte videogames)",O MACHISMO,NULA,Equipe. Devido a interação com outras pessoas.,"Sim, autorizo!","Sim, autorizo!",d6cee20a78cf3d7fbf72896c3376f1c3494d30a7f3457cd4b81e624173b13162,811368802cf40550079e2f3a4566c3bfaad6d7086dbdc32741dfc29d7097b58a,be0f3f173c8b87cdd3005865814ebabde8519da2844808c2dcafe66ef321b06a
10/02,Sim,Entre 31 e 40 anos,Graduação - concluído,FORTALEZA/MEIRELES,Branca,Cisgênera,Heterossexual,Não,Fisioterapia e veterinária ,Não trabalho e estou buscando um emprego/estágio,Não se aplica,Desenvolvedora FullStack JS e Python,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),2 a 4 anos,Sim,1 ano a 2 anos,Sim,Júnior,Desenvolvimento Web,"JS, Java","Redes Sociais (Instagram, Facebook e etc);Indicação de amiga(o);Evento","Sim, como participante",APRENDER E ENSINAR MSM Q N SEJA PYTHON EM SI NETWORKING FAZER AMIZADES,ORGANIZACAO,Entre 1 a 3 eventos por ano,Atividades lúdicas e recreativas,Desenvolvimento Web,Talvez,Nunca pensei nisso kkkk,Tá tudo perfeito,"Sim, como mentorada",FrontEnd CE,Não,"🎨 (arte, representando interesses criativos);🎶 (música, para interesses musicais);🎮 (jogos, para quem curte videogames)",SER MULHER SE CONTAR OQ JA PASSEI DA MUITAS LINHAS SEMPRE PERGUNTAM SE TENHO FILHO OU SE PRETENDO TER COM QUEM MORO SE SOU CASADA IDADE TBM E UM FATOR QUE PEGA MUITO,NULA,"Equipe, amo trabalhar em grupo","Sim, autorizo!","Sim, autorizo!",fb46de8b2b947e81c11719086f9fda89efe9fab22055bedf8a5df0d0f7e874ef,d07a5d67f53b93fdebe13cbdead9a5421e19c84fa7917481004d5da424118fa0,eb6f6d8bf19e83da209623dea850453fbcb96d208898f614375213a01fd880c0
12/08,Sim,Entre 18 e 24 anos,Graduação - cursando,Serra de Guaramiranga,Branca,Cisgênera,Assexual,Sim e compartilho a responsabilidade sobre eles com outras pessoas,"Não, Estética. ",Não trabalho e estou buscando um emprego/estágio,Não se aplica,Estudante de Análise desenvolvimento de sistemas ,Menos de 1 salário mínino ( < 1.412),menos de 1 ano,Não,Não se aplica,Sim,Não se aplica,Não se aplica,nula,Indicação de amiga(o),Não,ESPERO QUE SEJA UM AMBIENTE COLABORATIVO ONDE O CONHECIMENTO E PARTILHADO A INOVACAO E INCENTIVADA E QUE TODAS TENHAMOS ESPACO PARA APRENDER E CRESCER PROFISSIONALMENTE,COMPARTILHAR CONHECIMENTO PARTICIPACAO AJUDAR NA ORGANIZACAO,1 evento por ano,Atividades lúdicas e recreativas;Workshops;Palestras,Análise/Visualização de Dados;Desenvolvimento Web;Testes,Não,nula,nula,Não,Não ,Sim,"⚽ (futebol, representando interesses esportivos);🍳 (culinária, para quem gosta de cozinhar)",AINDA NAO SEI MUITO POR SER INICIANTE MAIS VEJO QUE A DESIGUALDADE DE GENERO POR ACHAREM QUE NAO CONSEGUIMOS FAZER TAL COISA OU POR SER UMA AREA ALTAMENTE MACHISTA,NULA,Em equipe. ,"Sim, autorizo!","Sim, autorizo!",d24ebc56b3fc5d4275f2bf991443a5dee8564dc8d142864f1581102800810540,08a01ed856b60f61548866246ad8f3287918a5c982f49976b43b4c18ba80325c,bc8ce8c5106058a8d4e08d7765b4e0be0d6a2869d92c5f45743be84b5c6a8de8
09/02/1981,Sim,Entre 41 e 50 anos,Graduação - incompleto,PARANGABA ,Parda,Cisgênera,Heterossexual,Sim e sou a única responsável por eles,Administrativo Financeiro ,Não trabalho e estou buscando um emprego/estágio,Estou buscando ativamente novo emprego/estágio/etc.,nula,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),menos de 1 ano,Sim,menos de 1 ano,Não se aplica,Júnior,Não se aplica,"CSS , javascript, react",Evento,Não,OPORTUNIDADE DE CRESCIMENTO PROFISSIONAL E DO GRUPO,NOCOES ADMNISTRATIVAS,1 evento por ano,Atividades lúdicas e recreativas;Workshops;Palestras;Tutoriais,Machine Learning;Automação ,Não,Na,Cursos ,"Sim, como mentorada",Não ,Não,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura)",PRECONCEITO,TRILHAS DE CONHECIMENTO CURSOS VAGAS,Em equipe ,"Sim, autorizo!","Sim, autorizo!",e1a2744975b83789c073a4c1d9120c9d52c379806e1b40751a70f622d4a66b93,943fc41cb3dc89a06e773a2d84af2b6885b7e5c376a681838a8bfa695a0a2730,83943e22656734eb7e4e446a0169463f7be66825f4aabd89cc0c77309d9dbd29
14/03/1998,Sim,Entre 25 e 30 anos,Pós-Graduação Stricto Sensu (Mestrado/Doutorado/Pós-Doutorado) - incompleto,ALDEOTA,Parda,Cisgênera,Heterossexual,Não,Sim,Funcionária de empresa privada (CLT/PJ),"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas",Engenheira de dados,Acima de 7 salários míninos ( >= 9.884 ),Mais de 4 anos,Sim,Mais de 4 anos,Não se aplica,Sênior,Análise/Visualização de Dados;Big Data;Data Science;Desenvolvimento Web;Machine Learning;Testes;Web scrapping,"Terraform, aws, Javascript…",Indicação de amiga(o),"Sim, como organizadora;Sim, como palestrante/ministrante de curso/etc.;Sim, como participante",NULA,NULA,Entre 3 a 5 eventos por ano,Atividades lúdicas e recreativas;Palestras,Análise/Visualização de Dados;Big Data;Data Science;Machine Learning,Sim,"Cloud, engenheira de dados, Observability, micros serviços e comunicação ","Ciclo de palestras constantes, voluntariado com crianças","Sim, como mentora",Não ,Sim,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);⚽ (futebol, representando interesses esportivos);🎶 (música, para interesses musicais);🌍 (viagens, para interesses em explorar o mundo);🧘‍♀️ (bem-estar, para práticas como yoga)",CARAS MACHISTAS,COMPARTILHAR EXPERIENCIAS,Equipe,"Sim, autorizo!","Sim, autorizo!",895710f389f3df3ff62da1a3ddb3668bb24768047563e80198249f6a38253bd9,d12c429a53076299b7bd12cac33e46744c7c78f26d2f089b64d3caac8bc1d92f,239c52868b7f5f0712f2e27765a683a7efd952cc242a8e77f98ffbc6e5b593f3
15/09,Sim,Entre 18 e 24 anos,Graduação - concluído,VILA PERI,Parda,Cisgênera,Heterossexual,Não,Não. Engenharia Elérica.,Bolsista de instituição acadêmica,Estou buscando ativamente novo emprego/estágio/etc.,"Sou bolsista de residência de microeletrônica, mas com formação em engenharia elétrica.",Entre 3 salários míninos a 7 salários míninos ( >= 4.236 e < 9.884 ),Mais de 4 anos,Sim,1 ano a 2 anos,Não se aplica,Júnior,Não se aplica,nula,"Redes Sociais (Instagram, Facebook e etc);Indicação de amiga(o)",Não,NULA,NULA,nula,Palestras;Tutoriais,Análise/Visualização de Dados;Big Data;Data Science;IoT;Segurança,Talvez,Microeletrônica.,nula,"Sim, como mentorada",Não,Não,"📚 (livros, representando interesses em leitura);⚽ (futebol, representando interesses esportivos);🌍 (viagens, para interesses em explorar o mundo);🧘‍♀️ (bem-estar, para práticas como yoga)",NULA,NULA,nula,"Sim, autorizo!","Sim, autorizo!",f4f0820d39313d9826bb7eb59089e3ac3ebf1174494d0942cfcd4aed44d93aba,fba812b43678bfb476fff34ff7dc7c38f2f2caac8994db62330bace1665cd251,09a69a187381ad480362f1a4bd3fa21387dc750e3b7c1b3ee4d3eee58c4cdfd3
11/08/1992,Sim,Entre 31 e 40 anos,Pós Graduação Lato Sensu (Especialização/MBA/etc) - concluído,Monte Castelo,Branca,Cisgênera,Lésbica,Não,Sim,Funcionária de empresa privada (CLT/PJ),Mercado internacional ,Analista de sistemas sênior,Acima de 7 salários míninos ( >= 9.884 ),Mais de 4 anos,Sim,menos de 1 ano,Sim,Júnior,Não se aplica,Java,"Redes Sociais (Instagram, Facebook e etc)",Não,MUITA TROCA DE CONHECIMENTO E NETWORK,AINDA NAO SEI VISTO QUE NAO TENHO MUITO CONHECIMENTO EM PYTHON,1 evento por ano,Workshops,Desenvolvimento Web,Talvez,nula,nula,Talvez,Não,Não,"🎶 (música, para interesses musicais);🍳 (culinária, para quem gosta de cozinhar);🌍 (viagens, para interesses em explorar o mundo);🎮 (jogos, para quem curte videogames)",NULA,NULA,nula,"Sim, autorizo!","Sim, autorizo!",f601845ae0d90c5fb55aa8b62e7c242c483ba0ae2b2fe9389c3a32789a0c78cc,2d57d78af7422aee028199c47b497dc200e117f9ee47aafaa104bd6bd02b4d37,13553baeb3cf1f5e2872486c27a6772f4f76f0b9b567f854e44221ebe2d7eaac
15/11,Sim,Entre 25 e 30 anos,Graduação - incompleto,Alto Da Balança,Branca,Cisgênera,Heterossexual,Não,Administração/ Atendimento ,Funcionária de empresa privada (CLT/PJ),Não se aplica,Analista de sistemas ,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),Mais de 4 anos,Não,Não se aplica,Talvez,Não se aplica,Não se aplica,Tecnologias? Depende do que se refere. Mas trabalho com software de automação comercial e já trabalhei com software de migração de planos de empresas de telefonia. ,Indicação de amiga(o),Não,QUERO ABRANGER MEU CONHECIMENTO NA AREA DE TECNOLOGIA,COM FACILIDADE DE INTERACAO E COMPARTILHAMENTO DE IDEIAS,1 evento por ano,Não participei de nenhum ,Análise/Visualização de Dados;Big Data;Segurança,"Sim, tendo apoio e divindindo espaço da apresentação com outra pessoa","Experiência profissional, desenvolvimento emocional e social ","Mais opções de segmentos da área de tecnologia, mas ligado à carreira.","Sim, como mentorada",Não. ,Não,"📚 (livros, representando interesses em leitura);🎶 (música, para interesses musicais);🍳 (culinária, para quem gosta de cozinhar)",A FALTA DE VALORIZACAO,NULA,Equipe! Porque me sinto mais segura no que faço ,"Sim, autorizo!","Sim, autorizo!",2f377dd9f1971920b16b93f570c9711e1f241e611dd3458fa4f32e5e20abf31f,f33f32a4311f6994cfdfe2e9651c1607779286cddc16097320752b6e9071ab5d,8065ca6027981b9ccaa691876e96171e7637dfaaad688815ab5fe903223e9cb1
12/07,Sim,Entre 31 e 40 anos,Pós-Graduação Stricto Sensu (Mestrado/Doutorado/Pós-Doutorado) - concluído,FORTALEZA/MARAPONGA,Amarela,Cisgênera,Heterossexual,Não,"sou engenheira mecânica, mas trabalho como programadora a mais de dois anos",Funcionária de empresa privada (CLT/PJ),"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas", Engenheira de Software,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),Mais de 4 anos,Sim,2 a 4 anos,Não se aplica,Júnior,Data Science;Machine Learning,nula,Indicação de amiga(o),"Sim, como participante",PODER SER UM AMBIENTE SEGURO PARA AS MULHERES QUE QUEREM SEGUIR CARREIRA NESSA AREA,AJUDANDO AS PESSOAS ENSINANDO O QUE EU JA APRENDI PARA OUTROS,1 evento por ano,Atividades lúdicas e recreativas;Workshops,Análise/Visualização de Dados;Data Science,"depende do assunto, mas sim","introdução a programação
machine learning
","meu maior problema é que tem dias que eu não consigo acompanhar os ritmos das postagens, e algumas vezes nos eventos chocam horário ",Talvez,não,Não,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);🍳 (culinária, para quem gosta de cozinhar);🎮 (jogos, para quem curte videogames)",POUCAS MULHERES NA AREA TORNANDO UM AMBIENTE TOTALMENTE MASCULINO,NULA,"depende do tipo/tamanho/natureza do projeto e principalmente da equipe. Em projetos de médio a grande porte trabalhar em equipe tem várias vantagens, porque além de conseguir dividir tarefas existe uma troca de conhecimentos que ajuda muito. ","Sim, autorizo!","Sim, autorizo!",cec1ceb1d4059e74d261d48859900f215a2aa2224e12b309bbb696330aaac58c,bc72678e75e876b9fc44e0c94f1fa1c87d25ee7b76b492f2579abfc802be0380,6d9710df1d83f27c76c9106246e4a98774fbc5c63e0441b9800471fd90377076
28/07/1992,Sim,Entre 31 e 40 anos,Pós-Graduação Stricto Sensu (Mestrado/Doutorado/Pós-Doutorado) - cursando,FATIMA / CEDRO ,Parda,Cisgênera,Heterossexual,Sim e sou a única responsável por eles,Sim ,Funcionária de empresa privada (CLT/PJ),"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas",Dev web backend ,Entre 3 salários míninos a 7 salários míninos ( >= 4.236 e < 9.884 ),Mais de 4 anos,Sim,2 a 4 anos,Talvez,Pleno,Análise/Visualização de Dados;Big Data;Data Science,PHP JavaScript Java ,"Redes Sociais (Instagram, Facebook e etc)",Não,FOMENTO PARA MULHERES,MINICURSOS OU PALESTRAS,1 evento por ano,Atividades lúdicas e recreativas;Workshops;Palestras;Tutoriais,Análise/Visualização de Dados;Big Data;Data Science;Desenvolvimento Web;Web scrapping,Sim,Data science para o bem social ,nula,Talvez,Sim. Adas coders ,Sim,"📚 (livros, representando interesses em leitura);⚽ (futebol, representando interesses esportivos);🎶 (música, para interesses musicais);🌍 (viagens, para interesses em explorar o mundo)",NENHUM,NULA,nula,"Sim, autorizo!","Sim, autorizo!",622c3c35c151eedbd65d4a4ab52c801966b723684ce2109c7b74cd467160a850,925d08abd7ba6dc9c6f253b7c3678978a9bf6dee64e4ae62fb27381889b03180,7a8853766612406a10c0cdf6a6f466f4ff7ee212b71285d2cccbe6fa40a72342
01/04/1990,Sim,Entre 31 e 40 anos,Pós Graduação Lato Sensu (Especialização/MBA/etc) - concluído,MARACANAÚ/JEREISSATI I,Parda,Cisgênera,Bissexual,Não,Sim,Em transição de bolsista para funcionária de empresa pública,Em transição de bolsista para funcionária de empresa pública,Engenheira de Dados e programadora,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),Mais de 4 anos,Sim,Mais de 4 anos,Não se aplica,Pleno,Análise/Visualização de Dados;Data Science;Desenvolvimento Web;Web scrapping,".NET, Javascript, HTML, CSS",Evento,"Sim, como organizadora;Sim, como participante",O QUE ELAS JA ENTREGAM UM AMBIENTE ACOLHEDOR ONDE PODEMOS NAO SO TIRAR DUVIDAS E DEBATER ASSUNTOS TECNICOS MAS TAMBEM DO COTIDIANO DE FORMA SEGURA E SEM JULGAMENTOS,COMO MENTORA EM EVENTOS TIPO O DJANGO GIRLS,1 evento por ano,Atividades lúdicas e recreativas;Workshops;Palestras;Tutoriais;,Análise/Visualização de Dados;Data Science;Desenvolvimento Web;Segurança;Testes,Não,nula,"Não interajo mais só por falta de tempo mesmo, já há bastante conteúdos que me despertam interesse",Talvez,Fiz parte do COMSOLiD durante meu período no IFCE,Sim,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);🍳 (culinária, para quem gosta de cozinhar);🎮 (jogos, para quem curte videogames)",SER CONSTANTEMENTE SUPERESTIMADA,NULA,nula,"Sim, autorizo!","Sim, autorizo!",396f94a5d821a9ef94169b357ca549f9cb4f083ca5b4e05b7ac2c54f441d424b,f3b3f1ee29f2ebe1647623ffcdfd64faf3defa4cd834c00149c2c91120fe70ab,dc7e7e3df198177ae4cdcf2430c6adc338bc03847d17de5c427a49d80d1e7b3c
10/04/2004,Sim,Entre 18 e 24 anos,Graduação - cursando,Papicu/Fortaleza-CE,Parda,Cisgênera,Heterossexual,Não,Minha primeira área foi T.I,Estagiária,"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas",Estagiária de testes QA,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),1 ano a 2 anos,Sim,1 ano a 2 anos,Sim,Júnior,Não se aplica,"Java script, Java, CSS, HTML, React, SQL","Redes Sociais (Instagram, Facebook e etc);Evento","Sim, como participante",ESPERO UM CRESCIMENTO CADA VEZ MAIOR E UMA COMUNIDADE INCRIVEL COM CONTEUDOS E PALESTRAS EXCELENTES,POSSO CONTRIBUIR COM MEUS CONHECIMENTOS E ADQUIRIR NOVOS TAMBEM,Entre 1 a 3 eventos por ano,Atividades lúdicas e recreativas;Workshops;Palestras,Análise/Visualização de Dados;Desenvolvimento Web;Jogos;Testes,Sim,Ainda não sei,Palestras em lugares diferentes e também envolvendo outras áreas e atividades.,"Sim, como mentora e mentorada",Nenhuma,Sim,"📚 (livros, representando interesses em leitura);🎶 (música, para interesses musicais);🍳 (culinária, para quem gosta de cozinhar);🌍 (viagens, para interesses em explorar o mundo);🧘‍♀️ (bem-estar, para práticas como yoga);🎮 (jogos, para quem curte videogames)",O PRECONCEITO E MACHISMO,INCENTIVOS,"Gosto de ambas formas, acredito que as duas são adequadas para momentos específicos. Mas, trabalhar em equipe é muito divertido, por que existe uma troca de ideias e conhecimentos.","Sim, autorizo!","Sim, autorizo!",df36e180212afa3f67fd0d81bce6a7202cdeac3a42c0ca53fa398d3d3b65185a,d0c2deeb2c98fa404dc89782e388d73607e4adabe038c457e1e9f85f3268a632,c3c4b2e14b14c7002028c2028e4dcb7a11d84a1141727d19c8cfc6f0937a80aa
